Code,Name,Price,Vol
MSY,Misys,233.5,0.58
MTO,MITIE Group PLC,260.25,0.5
MNKS,Monks Inv Tst PLC,316,0.38
MGCR,Morgan Crucible Co PLC,280.75,0.4
MGNS,Morgan Sindall,1513,1.8
MCHL,Mouchel Parkman,385,0.98
MUT,Murray Income Investment Trust,713,0.8
MYI,Murray International Trust,619,0.55
MT.S,Mytr Gro Myt Gro Plc Ord 30p,322,0
NEX,National Express,1080,3.9
NFDS,Northern Foods,118,1.08
NTG,Northgate,1037,2.2
NIS,Northgate Information Solution,78.5,0.2
NWG,Northumbrian Water Group,314.75,0.6
PAG,Paragon Group,526.5,0.75
PRTY,Partygaming,37.75,0.1
PDG,Pendragon,98,0.23
PNN,Pennon Group,613,0.95
PLI,Perpetual Inc & Grwth IT,243,0.38
PFC,Petrofac LD,457.5,1.88
PFL,Premier Farnell,204.25,0.7
PFD,Premier Foods PLC,286.25,0.53
PMO,Premier Oil,1083,3.5
PFG,Provident Financial,723,1.2
PZC,PZ Cussons,158.5,0.43
QQ.,Qinetiq,189,0.48
QED,Quintain Estates & Development,799.5,2.9
RRS,Randgold Resources Ld,1112,2.9
RNK,Rank Gr Pl Ra Gr Pl Or 13 8/9p,174.25,0.43
RAT,Rathbone Brothers,1305,2.7
RDW,Redrow Group,516.5,0.75
RGU,Regus Group PLC,139.25,0.25
RSW,Renishaw,635.5,1.2
RTO,Rentokil Initial,165.25,0.2
RTN,Restaurant Group,309,0.9
RMV,Rightmove,606.5,0.9
RCP,RIT Capital Partners,1020,3
ROR,Rotork,880,1.5
RPS,RPS Group,352,0.58
SVS,Savills,588.5,1.4
SCIN,Scottish Investment Trust PLC,512.5,0.55
SMT,Scottish Mortgage & Trust,598.5,0.15
SRP,Serco Group,442.75,0.75
SHB,Shaftesbury,585,1.2
SKS,Shanks Group,262.25,0.45
SHI,SIG,1322,3.8
SIG,Signet Grou Pl Si Gr Pl Us0009,105,0.2
SMDS,Smith (DS),231,0.65
SIA,Soco International,1913,3.1
SCHE,Southern Croswi,559,2.3
SXS,Spectris,893,2
SDY,Speedy Hire,1218,2.7
SPX,Spirax-Sarco Engineering,1019,2.2
SPT,Spirent,77,0.23
SPD,Sports Direct International WI,203,1
SSL,SSL International,423.5,0.73
STJ,St James's Place,433,0.8
SMP,St.Modwen Properties,602,1
SGC,Stagecoa Gr St Gr Pl Or 56/57p,169,0.33
STHR,Sthree,471.25,1.45
SVI,SVG Capital PLC,874.5,1.45
TNS,Taylor Nelson Sofres PLC,238,0.48
TWOD,Taylor Woodrow,383.25,1.75
TMPL,Temple Bar Investment Trust,849,1.1
TEM,Templeton Emerging Market IT,368.5,0.3
TCG,Tho Co Gr Th Co Gr Pl Or Eu010,320.5,0.7
TOMK,Tomkins,260.25,2.5
TPT,Topps Tiles PLC,236,0.43
TRY,TR Property Investment Tst,217,0.28
TPK,Travis Perkins,1862,5.4
TNI,Trinity Mirror,525,0.7
TLPR,Tullett Prebon PLC,460.25,0.68
TLW,Tullow Oil,479,1.3
UKC,UK Coal,499.5,2.05
UKCM,Uk Commercial Property,88,0.25
ULE,Ultra Electronic Holdings,1153,2.3
UTG,Unite Group,402.25,1.28
UBM,United Business Media PLC,783.5,1.95
VPC,Venture Production,711.5,1.2
VCT,Victrex,740.5,1.3
VTG,VT Group,590,0.85
WNER,Warner Estate Holding,695,2.35
WEIR,Weir Group,720.5,2.75
JDW,Wetherspoon(JD),568.5,1.85
SMWH,Wh Smith PLC,413.5,1.35
WMH,William Hill,608,1.55
WMPY,Wimpey (George),531.5,1.8
WIN,Wincanton,399,0.68
WTAN,Witan Investment Trust PLC,492.5,0.45
WG.,Wood Group (John),323.5,0.45
WKP,Workspace Group,404.25,1
XCH,Xchanging PLC When Issued,272,0.35
